countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
MDG,Madagascar,Alaotra Mangoro,subnational,1234447,2024-03-02,SURVEY,287657,0.23302499013728414,262937,0.21299982907326115,33748,0.027338557264912952,103127,0.08354108459157543
MDG,Madagascar,Amoron I Mania,subnational,859365,2024-03-02,SURVEY,370973,0.43168269594409825,295194,0.34350246984692184,44835,0.05217223302438637,73579,0.08562016205967403
MDG,Madagascar,Analamanga,subnational,4024795,2024-03-02,SURVEY,1110139,0.27582497990580884,1267061,0.3148137979698345,511362,0.12705293064615714,438416,0.10892877773899041
MDG,Madagascar,Analanjirofo,subnational,1244087,2024-03-02,SURVEY,261716,0.21036792442972235,243557,0.19577167834725384,63114,0.05073115847558096,73503,0.05908185729680621
MDG,Madagascar,Androy,subnational,882088,2024-03-02,SURVEY,396177,0.4491354604075784,322463,0.36556783450177305,105735,0.11986899266286355,265952,0.3015027979067848
MDG,Madagascar,Anosy,subnational,807418,2024-03-02,SURVEY,406799,0.5038270140125685,374660,0.46402235273427145,64339,0.07968484811870158,118787,0.14711958366050795
MDG,Madagascar,Atsimo Andrefana,subnational,1582561,2024-03-02,SURVEY,532137,0.3362505457925477,630563,0.39844467290676316,75716,0.04784396457918574,166680,0.10532295437585028
MDG,Madagascar,Atsimo Atsinanana,subnational,1080117,2024-03-02,SURVEY,511710,0.4737542321804027,298456,0.27631821367500004,106024,0.09815974621490177,173539,0.16066685368344355
MDG,Madagascar,Atsinanana,subnational,1527185,2024-03-02,SURVEY,406012,0.2658564613979315,518389,0.3394408666926404,120266,0.07875015018247249,297686,0.19492464894560907
MDG,Madagascar,Betsiboka,subnational,352773,2024-03-02,SURVEY,85537,0.24247037046485984,108823,0.3084788234927276,16853,0.047772920913450506,28630,0.08115700464604718
MDG,Madagascar,Boeny,subnational,961100,2024-03-02,SURVEY,282425,0.29385599833524084,282307,0.2937332223493913,107417,0.11176464467797316,106104,0.11039850171678285
MDG,Madagascar,Bongolava,subnational,549694,2024-03-02,SURVEY,104399,0.18992202934723681,153509,0.2792626443075602,16430,0.029889347657062797,45024,0.08190738847431481
MDG,Madagascar,Diana,subnational,841329,2024-03-02,SURVEY,188978,0.22461843107749763,174616,0.20754782017498508,100048,0.11891661882569125,55120,0.06551536015044505
MDG,Madagascar,Haute Matsiatra,subnational,1441255,2024-03-02,SURVEY,635174,0.44070896545024996,467533,0.3243929769541129,186890,0.12967170972520478,109279,0.07582213611311658
MDG,Madagascar,Ihorombe,subnational,375351,2024-03-02,SURVEY,126184,0.33617600592512076,98353,0.2620294071415821,24385,0.06496584562982641,37140,0.09894742482637837
MDG,Madagascar,Itasy,subnational,880767,2024-03-02,SURVEY,226075,0.2566796894070736,247121,0.28057477176143064,31736,0.036032220188997606,54852,0.06227752519066019
MDG,Madagascar,Melaky,subnational,348053,2024-03-02,SURVEY,106235,0.30522680808700464,100205,0.28790155522291144,11349,0.032607106201929345,34391,0.09880967392638576
MDG,Madagascar,Menabe,subnational,711639,2024-03-02,SURVEY,191210,0.26868933376359533,227481,0.31965786023531595,86565,0.12164173127105175,92229,0.12960082288913338
MDG,Madagascar,Sava,subnational,1178796,2024-03-02,SURVEY,379380,0.3218368572679242,240595,0.2041023213516164,77505,0.06574928995347795,157007,0.1331926813460514
MDG,Madagascar,Sofia,subnational,1498769,2024-03-02,SURVEY,506945,0.3382409163787081,358367,0.2391075609383434,83370,0.05562563342917255,156658,0.1045245509202263
MDG,Madagascar,Vakinankaratra,subnational,2167330,2024-03-02,SURVEY,631122,0.29119792555817525,615376,0.2839327651995774,195474,0.09019120195680808,296443,0.13677797105193948
MDG,Madagascar,Vatovavy Fitovinany,subnational,1702391,2024-03-02,SURVEY,907587,0.5331248814167838,557897,0.327713786080871,164236,0.0964737146615564,400402,0.23519978665300745
MDG,Madagascar,Alaotra Mangoro,subnational,1234447,2024-03-01,SURVEY,270047,0.21875949311716097,240397,0.19474064095096832,42314,0.0342777002426191,109131,0.08840475863840334
MDG,Madagascar,Amoron I Mania,subnational,859365,2024-03-01,SURVEY,370973,0.43168269594409825,295194,0.34350246984692184,44835,0.05217223302438637,73579,0.08562016205967403
MDG,Madagascar,Analamanga,subnational,4024795,2024-03-01,SURVEY,1044072,0.259409982371773,1249883,0.3105457545042667,472261,0.11733790168194903,474660,0.1179339568847606
MDG,Madagascar,Analanjirofo,subnational,1244087,2024-03-01,SURVEY,261716,0.21036792442972235,243557,0.19577167834725384,63114,0.05073115847558096,73503,0.05908185729680621
MDG,Madagascar,Androy,subnational,882088,2024-03-01,SURVEY,397489,0.45062284035152955,322620,0.3657458212786026,106408,0.1206319550883812,266527,0.30215466030600124
MDG,Madagascar,Anosy,subnational,807418,2024-03-01,SURVEY,407789,0.5050531447156243,372795,0.461712520652252,65852,0.08155871389938116,120823,0.14964120195487343
MDG,Madagascar,Atsimo Andrefana,subnational,1582561,2024-03-01,SURVEY,532137,0.3362505457925477,630563,0.39844467290676316,75716,0.04784396457918574,166680,0.10532295437585028
MDG,Madagascar,Atsimo Atsinanana,subnational,1080117,2024-03-01,SURVEY,518854,0.480368330467903,299781,0.2775449326322982,111233,0.10298236209595812,180959,0.16753647984431316
MDG,Madagascar,Atsinanana,subnational,1527185,2024-03-01,SURVEY,423005,0.27698346958619946,502278,0.32889139167815296,99740,0.06530969073950045,308923,0.20228263111541825
MDG,Madagascar,Betsiboka,subnational,352773,2024-03-01,SURVEY,92980,0.2635689239255839,117856,0.3340845246093097,18116,0.05135311589493215,34863,0.09882558051126461
MDG,Madagascar,Boeny,subnational,961100,2024-03-01,SURVEY,282425,0.29385599833524084,282307,0.2937332223493913,107417,0.11176464467797316,106104,0.11039850171678285
MDG,Madagascar,Bongolava,subnational,549694,2024-03-01,SURVEY,107112,0.19485750253777556,144410,0.2627097985424618,17000,0.03092628789836078,45222,0.08226756419645123
MDG,Madagascar,Diana,subnational,841329,2024-03-01,SURVEY,188978,0.22461843107749763,174616,0.20754782017498508,100048,0.11891661882569125,55120,0.06551536015044505
MDG,Madagascar,Haute Matsiatra,subnational,1441255,2024-03-01,SURVEY,659051,0.45727577701378314,442557,0.30706363551210575,180436,0.12519366801849777,90402,0.06272450679456508
MDG,Madagascar,Ihorombe,subnational,375351,2024-03-01,SURVEY,127719,0.34026551148125356,97061,0.2585872956246287,24438,0.0651070467706253,37445,0.0997599779646291
MDG,Madagascar,Itasy,subnational,880767,2024-03-01,SURVEY,227711,0.25853716136049604,243675,0.2766622727690752,32239,0.03660330950683343,55300,0.06278616638680261
MDG,Madagascar,Melaky,subnational,348053,2024-03-01,SURVEY,107429,0.3086570148799177,95068,0.2731423087863055,11272,0.03238586255082132,34031,0.09777532903580875
MDG,Madagascar,Menabe,subnational,711639,2024-03-01,SURVEY,190707,0.26798278340563125,229600,0.32263549355782917,86294,0.12126092021376007,91751,0.1289291340131724
MDG,Madagascar,Sava,subnational,1178796,2024-03-01,SURVEY,379380,0.3218368572679242,240595,0.2041023213516164,77505,0.06574928995347795,157007,0.1331926813460514
